player_id,fifa_version,fifa_update_date,short_name,long_name,player_positions,overall,potential,age,dob,height_cm,weight_kg,league_name,club_name,club_jersey_number,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,mentality_penalties,player_face_url,
158023,15,2014-09-18,L. Messi,Lionel Andrés Messi Cuccittini,CF,93,95,27,1987-06-24,169,67,La Liga,FC Barcelona,10,Argentina,Left,93,89,86,96,27,63,76,https://cdn.sofifa.net/players/158/023/15_120.png,
20801,15,2014-09-18,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"LW, LM",92,92,29,1985-02-05,185,80,La Liga,Real Madrid CF,7,Portugal,Right,93,93,81,91,32,79,85,https://cdn.sofifa.net/players/020/801/15_120.png,
9014,15,2014-09-18,A. Robben,Arjen Robben,"RM, LM, RW",90,90,30,1984-01-23,180,80,Bundesliga,FC Bayern München,10,Netherlands,Left,93,86,83,92,32,64,80,https://cdn.sofifa.net/players/009/014/15_120.png,
41236,15,2014-09-18,Z. Ibrahimović,Zlatan Ibrahimović,ST,90,90,32,1981-10-03,195,95,Ligue 1,Paris Saint-Germain,10,Sweden,Right,76,91,81,86,34,86,91,https://cdn.sofifa.net/players/041/236/15_120.png,
167495,15,2014-09-18,M. Neuer,Manuel Peter Neuer,GK,90,90,28,1986-03-27,193,92,Bundesliga,FC Bayern München,1,Germany,Right,65,50,78,45,89,90,37,https://cdn.sofifa.net/players/167/495/15_120.png,
41,15,2014-09-18,Iniesta,Andrés Iniesta Luján,"CM, LW",89,89,30,1984-05-11,170,65,La Liga,FC Barcelona,8,Spain,Right,75,72,89,91,59,63,71,https://cdn.sofifa.net/players/000/041/15_120.png,
176580,15,2014-09-18,L. Suárez,Luis Alberto Suárez Díaz,"ST, CF",89,91,27,1987-01-24,181,81,La Liga,FC Barcelona,9,Uruguay,Right,83,87,79,88,42,79,85,https://cdn.sofifa.net/players/176/580/15_120.png,
7826,15,2014-09-18,R. van Persie,Robin van Persie,ST,88,88,30,1983-08-06,187,71,Premier League,Manchester United,20,Netherlands,Left,74,90,82,83,33,68,86,https://cdn.sofifa.net/players/007/826/15_120.png,
121944,15,2014-09-18,B. Schweinsteiger,Bastian Schweinsteiger,"CM, CDM",88,88,29,1984-08-01,183,79,Bundesliga,FC Bayern München,31,Germany,Right,61,81,85,82,78,80,81,https://cdn.sofifa.net/players/121/944/15_120.png,
156616,15,2014-09-18,F. Ribéry,Franck Bilal Ribéry,LM,88,88,31,1983-04-07,170,72,Bundesliga,FC Bayern München,7,France,Right,89,78,85,92,29,62,80,https://cdn.sofifa.net/players/156/616/15_120.png,
